Image,Parent,Numeral,Name,radius,semi_major_axis,orbital_period,Discovery_year,Discovered_by,Notes,Ref(s)
"","Earth","I (1)","Moon","1,738","384,399","27.321582","Prehistoric","—","Synchronous rotation",""
"","Mars","I (1)","Phobos","11.267","9,380","0.319","1877","Hall","","[14]"
"","Mars","II (2)","Deimos","6.2±0.18","23,460","1.262","1877","Hall","","[14]"
"","Jupiter","I (1)","Io","1,821.6±0.5","421,800","1.769","1610","Galileo","Main-group moon (Galilean)","[16]"
"","Jupiter","II (2)","Europa","1560.8±0.5","671,100","3.551","1610","Galileo","Main-group moon (Galilean)","[16]"
"","Jupiter","III (3)","Ganymede","2,634.1±0.3","1,070,400","7.155","1610","Galileo","Main-group moon (Galilean)","[16]"
"","Jupiter","IV (4)","Callisto","2,410.3±1.5","1,882,700","16.69","1610","Galileo","Main-group moon (Galilean)","[16]"
"","Jupiter","V (5)","Amalthea","83.5±2","181,400","0.498","1892","Barnard","Inner moon (Amalthea)","[15]"
"","Jupiter","VI (6)","Himalia","69.8","11,461,000","250.56","1904","Perrine","Prograde irregular (Himalia)","[15]"
"","Jupiter","VII (7)","Elara","43","11,741,000","259.64","1905","Perrine","Prograde irregular (Himalia)","[15]"
"","Jupiter","VIII (8)","Pasiphae","30","23,624,000","743.63 (r)","1908","Melotte","Retrograde irregular (Pasiphae)","[15]"
"","Jupiter","IX (9)","Sinope","19","23,939,000","758.90 (r)","1914","Nicholson","Retrograde irregular (Pasiphae)","[15]"
"","Jupiter","X (10)","Lysithea","18","11,717,000","259.20","1938","Nicholson","Prograde irregular (Himalia)","[15]"
"","Jupiter","XI (11)","Carme","23","23,404,000","734.17 (r)","1938","Nicholson","Retrograde irregular (Carme)","[15]"
"","Jupiter","XII (12)","Ananke","14","21,276,000","629.77 (r)","1951","Nicholson","Retrograde irregular (Ananke)","[15]"
"","Jupiter","XIII (13)","Leda","10","11,165,000","240.92","1974","Kowal","Prograde irregular (Himalia)","[15]"
"","Jupiter","XIV (14)","Thebe","49.3±2.0","221,900","0.675","1979","Synnott (Voyager 1)","Inner moon (Amalthea)","[15]"
"","Jupiter","XV (15)","Adrastea","8.2±2.0","129,000","0.298","1979","Jewitt, Danielson (Voyager 1)","Inner moon (Amalthea)","[15]"
"","Jupiter","XVI (16)","Metis","21.5±2.0","128,000","0.295","1979","Synnott (Voyager 1)","Inner moon (Amalthea)","[15]"
"","Jupiter","XVII (17)","Callirrhoe","4.5","24,103,000","758.77 (r)","2000","Scotti, Spahr, McMillan, Larsen, Montani, Gleason, Gehrels","Retrograde irregular (Pasiphae)","[15]"
"","Jupiter","XVIII (18)","Themisto","4","7,284,000","130.02","1975/2000","Kowal and Roemer (original); Sheppard, Jewitt, Fernández, Magnier (rediscovery)","Prograde irregular (Themisto)","[15][31]"
"","Jupiter","XIX (19)","Megaclite","2.7","23,493,000","752.86 (r)","2000","Sheppard, Jewitt, Fernández, Magnier, Dahm, Evans","Retrograde irregular (Pasiphae)","[15]"
"","Jupiter","XX (20)","Taygete","2.5","23,280,000","732.41 (r)","2000","Sheppard, Jewitt, Fernández, Magnier, Dahm, Evans","Retrograde irregular (Carme)","[15]"
"","Jupiter","XXI (21)","Chaldene","1.9","23,100,000","723.72 (r)","2000","Sheppard, Jewitt, Fernández, Magnier, Dahm, Evans","Retrograde irregular (Carme)","[15]"
"","Jupiter","XXII (22)","Harpalyke","2.2","20,858,000","623.32 (r)","2000","Sheppard, Jewitt, Fernández, Magnier, Dahm, Evans","Retrograde irregular (Ananke)","[15]"
"","Jupiter","XXIII (23)","Kalyke","2.6","23,483,000","742.06 (r)","2000","Sheppard, Jewitt, Fernández, Magnier, Dahm, Evans","Retrograde irregular (Carme)","[15]"
"","Jupiter","XXIV (24)","Iocaste","2.6","21,060,000","631.60 (r)","2000","Sheppard, Jewitt, Fernández, Magnier, Dahm, Evans","Retrograde irregular (Ananke)","[15]"
"","Jupiter","XXV (25)","Erinome","1.6","23,196,000","728.46 (r)","2000","Sheppard, Jewitt, Fernández, Magnier, Dahm, Evans","Retrograde irregular (Carme)","[15]"
